Estacao_,Mes_,grad_e_mean,grad_e_std,grad_e_min,grad_e_max,grad_n_mean,grad_n_std,grad_n_min,grad_n_max,m_h_mean,m_h_std,m_h_min,m_h_max,m_w_orig_mean,m_w_orig_std,m_w_orig_min,m_w_orig_max,m_w_mean,m_w_std,m_w_min,m_w_max,zhd_mean,zhd_std,zhd_min,zhd_max,zwd_mean,zwd_std,zwd_min,zwd_max,x_0_mean,x_0_std,x_0_min,x_0_max,x_1_mean,x_1_std,x_1_min,x_1_max,x_2_mean,x_2_std,x_2_min,x_2_max,tot_delay_mean,tot_delay_std,tot_delay_min,tot_delay_max,tot_delay_abs_<lambda>
BRAZ,VERAO,-0.000124578308845518,0.0002954177595617449,-0.000898,0.000586,-1.5644289199134337e-05,0.000312214706822629,-0.000881,0.000644,2.500670825477935,1.525833110946191,1.00264,7.645159,2.52356856020356,1.5691408594251774,1.002643,7.980044,-1.085470827437115e-06,0.0008761158694101938,-0.007149,0.007334,2.086704217681513,0.004206526371473727,2.0756,2.0972,0.24413407905181259,0.0451760170152131,0.1071,0.3019,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.834282809982905,3.5694621863757563,2.224564,18.298149,5.834282809982899
CUIB,VERAO,-3.2378523988449156e-06,0.00027362113239475346,-0.000748,0.000747,8.701434864317557e-05,0.0004289478437989824,-0.001345,0.001483,2.5383156492972594,1.5812429333862228,1.000572,7.635937,2.5621689783806607,1.6250854629313958,1.000572,7.942535,1.2498949576128259e-05,0.0011003371449001594,-0.00963,0.011755,2.2305988336028686,0.004856387064687099,2.2185,2.2421,0.3077781866363753,0.029540418185960784,0.2291,0.3601,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.450635317405038,4.028605596753593,2.469597,19.82942,6.450635317405037
UFPR,VERAO,-0.00017766689997352983,0.00035145179380049226,-0.001136,0.000821,0.00030623528658577873,0.00046453828882131996,-0.000646,0.001819,2.387569833911368,1.5140464233918758,1.001382,7.646035,2.408488186439731,1.555900380995969,1.001384,7.983117,1.9755235092060795e-05,0.0013070016020904705,-0.013727,0.014339,2.1535210370840954,0.006774442893202993,2.1395,2.1734,0.2305863451242559,0.050622998469730125,0.1105,0.3325,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.697025697686477,3.6221884581550663,2.265086,19.057341,5.697025697686481
NAUS,VERAO,-2.879032283589812e-05,0.00017727015738393267,-0.000585,0.000503,-0.0002478249674031153,0.0002718171114261188,-0.001074,0.000508,2.6693360291730386,1.548906579850247,1.000191,7.634049,2.6934152238591222,1.5905865621754551,1.000191,7.913839,-2.7691803798003122e-05,0.0008537582439076365,-0.007378,0.007125,2.2979909443539457,0.0029357561264081304,2.2905,2.3056,0.341733541242402,0.02279446971895351,0.272518,0.379,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,7.054653160097979,4.1039694605955725,2.575308,20.574454,7.054653160097983
POAL,VERAO,-0.00012365348323245157,0.00039883746084485916,-0.001537,0.000951,0.0006023725768911775,0.000420459405188487,-0.000395,0.002573,2.3798344137814835,1.5214078099025992,1.000064,7.639499,2.4021086045198405,1.5653301165071765,1.000064,7.976337,1.9702779274763823e-05,0.001465175933509909,-0.01698,0.017082,2.282235478607177,0.008861080532214132,2.2624,2.3078,0.20759220182736673,0.06144100035638945,0.084,0.3845,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.929782983081964,3.8000177720949853,2.402583,20.278005,5.929782983081957
PERC,VERAO,-0.0003514232453855324,0.0002545127143923851,-0.000912,0.00032,0.0002948581074257354,0.0002949269660953495,-0.000295,0.001022,2.698430959575618,1.583230219063843,1.000344,7.633907,2.7266540041797778,1.6321096507629849,1.000344,7.953705,3.172239441481503e-05,0.0012940588882023772,-0.009265,0.009212,2.29265379504967,0.002595659098050019,2.2835,2.2999,0.2426896440561361,0.04150751415828996,0.1679,0.3373,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.848331156822834,4.0278560914743275,2.468535,20.120626,6.848331156822828
ONRJ,VERAO,-0.0001782653592286545,0.00037735814157327123,-0.001541,0.000628,0.0006562364082660818,0.0005340196834114913,-0.000445,0.002003,2.455376744079758,1.5442056355489235,1.0,7.635378,2.477431897199579,1.5865426096867379,1.0,7.957393,1.983482896808793e-05,0.0017740572329434548,-0.014619,0.01546,2.2625115937561677,0.0069891825702567585,2.2453,2.2826,0.2835316206879171,0.05365463551218415,0.1515,0.3724,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.257606785701512,3.9464321210056204,2.415937,20.205946,6.257606785701508
SSA1,VERAO,-0.00036435096352647046,0.0004713961137033486,-0.002158,0.000492,6.8445795165972e-05,0.0002119962705721815,-0.000493,0.000747,2.5799747528805166,1.5709758537971188,1.000245,7.634235,2.6061524740111572,1.6187626556725625,1.000245,7.966944,0.00011634074501609782,0.0012595597519897458,-0.011352,0.0146,2.305401285677025,0.0034953542409403827,2.2935,2.3146,0.2508518700510145,0.06503931083487821,0.1536,0.3661,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.6012832778737645,4.031112211926135,2.460824,20.432391,6.601283277873761
SAGA,VERAO,-9.754647474517609e-05,0.0002267828293715708,-0.000941,0.000755,-0.00020529411136660782,0.0001798671366066688,-0.000728,0.000269,2.3446485240841928,1.228461106182416,1.000001,7.633514,2.359458441306153,1.2557928435349526,1.000001,7.933526,3.941140739308133e-05,0.0006388686152054886,-0.006403,0.007488,2.2858061426110976,0.003185087089966177,2.2771,2.2941,0.3315650098311667,0.0280526161735397,0.2239,0.3789,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.142449314732473,3.227815610978206,2.509342,20.462179,6.142449314732475
POLI,VERAO,-0.0001134612433388223,0.0003475826931903962,-0.001157,0.000741,0.0004603197237699987,0.0005165096807596724,-0.000506,0.002199,2.3994661164967828,1.4990339222480316,1.000765,7.642974,2.4199250126456042,1.5394885786510923,1.000766,7.974776,1.8773561276758643e-05,0.0015019104807228716,-0.014683,0.01659,2.178551691882022,0.0063860621559602366,2.1639,2.1973,0.25251020056509876,0.05882107443145953,0.0902,0.342,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.838003655517764,3.6569164231627296,2.276848,19.345951,5.838003655517775
